,CelebName,CelebImageURL,Description,CelebImage
11, Asrani,"https://m.media-amazon.com/images/M/MV5BMjEyNDQ4MzUzNF5BMl5BanBnXkFtZTgwNjY3OTczOTE@._V1_UX140_CR0,0,140,209_AL_.jpg",Asrani was born in a middle class Sindhi family. His father migrated to Jaipur after the Partition of India and opened a shop selling carpets. He has four sisters and three brothers: two elder and one younger. Asrani was highly uninterested in business and very weak in mathematics. He completed his...                ,"[[[153 143 160]
  [157 147 163]
  [165 152 168]
  ...
  [ 84  99 101]
  [106 119 121]
  [125 137 137]]

 [[142 135 148]
  [143 136 149]
  [147 139 150]
  ...
  [ 85 100 102]
  [107 120 122]
  [126 138 138]]

 [[142 145 150]
  [142 142 148]
  [140 141 145]
  ...
  [ 87 102 104]
  [108 121 123]
  [128 140 140]]

 ...

 [[ 44   5   0]
  [ 42   3   0]
  [ 38   0   0]
  ...
  [134 164 181]
  [137 170 186]
  [138 172 188]]

 [[ 38   1   0]
  [ 37   0   0]
  [ 35   0   0]
  ...
  [134 164 183]
  [137 170 186]
  [139 173 189]]

 [[ 46  14   8]
  [ 34   2   0]
  [ 31   0   0]
  ...
  [136 167 188]
  [139 172 191]
  [141 174 193]]]"
12, Ayushmann Khurrana,"https://m.media-amazon.com/images/M/MV5BOTk4MDY4ODAwNl5BMl5BanBnXkFtZTcwNzQ0MjY2Nw@@._V1_UY209_CR87,0,140,209_AL_.jpg","Ayushmann Khurrana was born on 14 September 1984 in Chandigarh, India. Ayushmann started off his career as a popular radio jockey, and eventually became a VJ on MTV India and one of the most popular hosts in India. He shot to stardom with the runaway hit, 'Vicky Donor' in 2012. His effortless act ...                ","[[[192 216 214]
  [193 217 215]
  [195 219 217]
  ...
  [232 246 245]
  [232 246 245]
  [232 246 245]]

 [[195 219 217]
  [196 220 218]
  [197 221 219]
  ...
  [232 246 245]
  [232 246 245]
  [232 246 245]]

 [[200 224 222]
  [201 225 223]
  [202 226 224]
  ...
  [230 246 245]
  [230 246 245]
  [230 246 245]]

 ...

 [[ 15  29 135]
  [ 12  26 132]
  [ 12  26 132]
  ...
  [  9  10  54]
  [ 12  11  53]
  [ 11  11  51]]

 [[ 16  29 137]
  [ 10  24 130]
  [  9  23 129]
  ...
  [ 10  11  49]
  [ 11  13  47]
  [  9  12  43]]

 [[ 19  34 144]
  [ 10  26 133]
  [ 10  24 130]
  ...
  [ 12  14  49]
  [ 10  12  47]
  [  6  11  44]]]"
13, Aruna Irani,"https://m.media-amazon.com/images/M/MV5BYWIzYjZkZTAtNDM0MS00YjBiLWJlMjItZDY1YTJhNjMxNTExXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX140_CR0,0,140,209_AL_.jpg","Aruna Irani made her debut in the movie Gunga Jumna (1961) at nine years old playing Azra's character. After doing several small roles in films like Jahanara (1964), Farz (1967), Upkar (1967) and Aaya Sawan Jhoomke (1969). She was paired with comedian Mehmood Ali in films like Aulad (1968), Jawab, ...                ","[[[  3   3   3]
  [  3   3   3]
  [  3   3   3]
  ...
  [  3   3   3]
  [  3   3   3]
  [  3   3   3]]

 [[  3   3   3]
  [  3   3   3]
  [  3   3   3]
  ...
  [  3   3   3]
  [  3   3   3]
  [  3   3   3]]

 [[  3   3   3]
  [  3   3   3]
  [  3   3   3]
  ...
  [  3   3   3]
  [  3   3   3]
  [  3   3   3]]

 ...

 [[  1  23  48]
  [ 49  70  97]
  [ 66  88 116]
  ...
  [149 143 184]
  [162 159 191]
  [165 164 190]]

 [[  3  24  46]
  [ 49  71  96]
  [ 67  88 116]
  ...
  [147 140 185]
  [164 160 195]
  [169 167 197]]

 [[  3  22  43]
  [ 50  71  93]
  [ 67  88 116]
  ...
  [131 125 172]
  [142 136 177]
  [153 148 187]]]"
14, Annu Kapoor,"https://m.media-amazon.com/images/M/MV5BMjE4MjAxODk1NV5BMl5BanBnXkFtZTcwODQ0MjY2Nw@@._V1_UY209_CR87,0,140,209_AL_.jpg","Annu Kapoor made his debut in the film Mandi directed by Shyam Benegal in 1983.His career has spanned nearly 30 years including a distinctive presence in Bollywood cinema, television serials, and reality game shows. He is best remembered for hosting the singing show Antakshari, produced by ZEE TV. ...                ","[[[ 26  47  69]
  [ 26  48  73]
  [ 26  47  74]
  ...
  [120 174 207]
  [121 175 208]
  [121 175 208]]

 [[ 28  49  71]
  [ 27  49  74]
  [ 28  49  76]
  ...
  [121 175 208]
  [121 175 208]
  [122 176 209]]

 [[ 30  51  73]
  [ 29  51  76]
  [ 29  50  77]
  ...
  [120 177 209]
  [120 177 209]
  [121 178 210]]

 ...

 [[ 56  70  89]
  [ 37  48  70]
  [ 73  77 106]
  ...
  [ 15  22  25]
  [ 15  22  25]
  [ 16  23  26]]

 [[ 58  67  87]
  [ 40  48  71]
  [ 32  36  65]
  ...
  [ 14  21  24]
  [ 15  22  25]
  [ 15  22  25]]

 [[ 29  40  60]
  [ 67  80 102]
  [ 51  62  90]
  ...
  [ 17  22  25]
  [ 17  22  25]
  [ 17  22  25]]]"
15, Ashish Vidyarthi,"https://m.media-amazon.com/images/M/MV5BMzk5Mzc5Y2YtYjJjYy00OGIyLTg4MzctZTMxNDBiYzY2MTcxXkEyXkFqcGdeQXVyNjc0MTQwOTc@._V1_UY209_CR116,0,140,209_AL_.jpg","Ashish Vidyarthi was born on June 19, 1962 in Tellicherry, Kerala, India. He is an actor, known for 24 (2013), Haider (2014) and Pokiri (2006).                ","[[[114 127 135]
  [111 124 132]
  [106 119 127]
  ...
  [ 27  36  33]
  [ 17  26  23]
  [ 11  20  17]]

 [[106 119 127]
  [110 123 131]
  [114 127 135]
  ...
  [ 25  34  31]
  [ 17  26  23]
  [ 11  20  17]]

 [[ 95 106 114]
  [103 114 122]
  [112 123 131]
  ...
  [ 23  32  29]
  [ 15  24  21]
  [ 10  19  16]]

 ...

 [[ 18  25  34]
  [ 21  28  37]
  [ 22  29  38]
  ...
  [ 82  94  98]
  [102 113 117]
  [119 130 134]]

 [[ 17  24  33]
  [ 20  27  36]
  [ 21  28  37]
  ...
  [ 78  90  94]
  [ 97 108 112]
  [113 124 128]]

 [[ 25  30  39]
  [ 24  29  38]
  [ 20  25  34]
  ...
  [ 79  90  94]
  [ 98 110 112]
  [115 127 129]]]"
16, Adil Hussain,"https://m.media-amazon.com/images/M/MV5BN2Q2YzA4MDMtMzVkYy00ZTMwLTgzN2EtZTc4NTRiODhkNzM3XkEyXkFqcGdeQXVyMjA4ODEzMzE@._V1_UY209_CR17,0,140,209_AL_.jpg","Adil Hussain is known for his critically acclaimed performances in award winning films such as Ang Lee's Oscar winning Life of Pi, Subhashish Bhutiani's Hotel Salvation/Mukti Bhavan, Iram Haq's What Will People Say, Danis Tanovic's Tigers, Mira Nair's The Reluctant Fundamentalist, Pan Nalin's Angry...                ","[[[36 26 43]
  [33 23 39]
  [31 20 30]
  ...
  [70 69 79]
  [62 61 71]
  [54 53 63]]

 [[36 26 43]
  [33 23 39]
  [29 20 30]
  ...
  [66 65 75]
  [58 57 67]
  [51 50 60]]

 [[37 27 44]
  [34 24 40]
  [30 20 32]
  ...
  [61 60 70]
  [54 53 63]
  [48 47 57]]

 ...

 [[39 29 35]
  [37 27 33]
  [32 22 28]
  ...
  [49 38 41]
  [52 39 41]
  [53 40 42]]

 [[42 31 34]
  [37 28 31]
  [35 24 27]
  ...
  [61 48 50]
  [60 47 49]
  [58 45 47]]

 [[42 30 30]
  [39 29 29]
  [39 26 28]
  ...
  [53 42 45]
  [53 42 45]
  [53 42 45]]]"
17, Anupam Kher,"https://m.media-amazon.com/images/M/MV5BMjMyMjc1OTgzNF5BMl5BanBnXkFtZTgwMDY1NDMzOTE@._V1_UY209_CR3,0,140,209_AL_.jpg","Anupam Kher was born on March 7, 1955 in Shimla, Himachal Pradesh, India. He is an actor and producer, known for Silver Linings Playbook (2012), A Wednesday (2008) and M.S. Dhoni: The Untold Stor (2016).                ","[[[ 6 11 10]
  [ 6 11 10]
  [ 6 11 10]
  ...
  [ 4 12 19]
  [ 5 11 16]
  [ 4 10 15]]

 [[ 6 11 10]
  [ 6 11 10]
  [ 6 11 10]
  ...
  [ 9 19 26]
  [ 8 16 23]
  [ 4 13 17]]

 [[ 6 11 10]
  [ 6 11 10]
  [ 6 11 10]
  ...
  [19 33 39]
  [14 26 32]
  [ 7 19 25]]

 ...

 [[18 67 81]
  [11 59 71]
  [ 0 42 55]
  ...
  [29 44 46]
  [18 33 36]
  [10 25 28]]

 [[35 81 98]
  [13 60 74]
  [ 0 44 58]
  ...
  [15 30 32]
  [ 7 20 22]
  [ 3 16 18]]

 [[ 0 36 55]
  [27 70 87]
  [19 63 80]
  ...
  [ 8 21 23]
  [13 20 23]
  [15 20 21]]]"
18, Anil Kapoor,"https://m.media-amazon.com/images/M/MV5BMjUyMWE5MjUtMDlkMC00ODc0LThkOTgtNjZhNDgyMTU5ZDhlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UX140_CR0,0,140,209_AL_.jpg","Living in a Chawl in Tilak Nagar, Punjabi-speaking Anil was born in 1959 to Surinder and Nirmal aka Suchitra Kapoor. He has an elder brother, Boney, a sister, Reena, and a younger brother, Sanjay. His dad used to be Shammi Kapoor's Secretary.A loner, without many friends, he studied in the nearby ...                ","[[[ 67  81  79]
  [ 67  81  79]
  [ 67  81  79]
  ...
  [213 225 227]
  [213 225 227]
  [213 225 227]]

 [[ 67  81  79]
  [ 67  81  79]
  [ 67  81  79]
  ...
  [213 225 227]
  [213 225 227]
  [213 225 227]]

 [[ 67  81  79]
  [ 67  81  79]
  [ 67  81  79]
  ...
  [213 225 227]
  [213 225 227]
  [213 225 227]]

 ...

 [[ 73  76  54]
  [ 75  78  56]
  [ 77  80  58]
  ...
  [ 26  31  30]
  [ 28  33  32]
  [ 34  39  38]]

 [[ 74  77  55]
  [ 75  78  56]
  [ 78  81  59]
  ...
  [ 26  31  30]
  [ 27  32  31]
  [ 34  39  38]]

 [[ 76  78  58]
  [ 77  79  59]
  [ 79  81  61]
  ...
  [ 31  36  35]
  [ 29  34  33]
  [ 34  39  38]]]"
19, Amrish Puri,"https://m.media-amazon.com/images/M/MV5BYWRlMTk2NWYtYjhjNy00NmRjLTg4NWMtMmM2YjJlN2YwNWE4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR8,0,140,209_AL_.jpg","Believe it or not, Amrish Puri wanted to become a Bollywood movie hero but failed a screen test in 1954. And what a failure it was! Mr. Puri went on to become one of the most renowned and credible villains in the history of Indian cinema. His most memorable and often quoted role is the character of...                ","[[[  9   9   9]
  [  9   9   9]
  [  8   8   8]
  ...
  [  3   3   3]
  [  3   3   3]
  [  3   3   3]]

 [[ 10  10  10]
  [  9   9   9]
  [  9   9   9]
  ...
  [  4   4   4]
  [  4   4   4]
  [  4   4   4]]

 [[ 11  11  11]
  [ 10  10  10]
  [ 10  10  10]
  ...
  [  5   5   5]
  [  5   5   5]
  [  5   5   5]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [253 253 253]
  [253 253 253]
  [253 253 253]]]"
20, Amole Gupte,"https://m.media-amazon.com/images/M/MV5BZmNhMWQyOGYtYmZkMy00ZjdjLWE4N2QtYjc0NzEyZjViZWQzXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR11,0,140,209_AL_.jpg","Amole Gupte is an Indian screenwriter, actor, and director, known for his work on Bollywood films like Taare Zameen Par (Like Stars on Earth), Stanley ka dabba, Kaminey and others. He is also an actor in Bheja Fry 2 (2011), stanley Ka Dabba (2011),Urumi (2011) Phas gaye re obama (2010) and Kaminey.                ","[[[  3   3   3]
  [  3   3   3]
  [  3   3   3]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  3   3   3]
  [  3   3   3]
  [  3   3   3]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  3   3   3]
  [  3   3   3]
  [  3   3   3]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 ...

 [[236 233 228]
  [233 230 225]
  [215 212 207]
  ...
  [186 180 167]
  [192 186 173]
  [215 209 196]]

 [[233 230 225]
  [237 234 229]
  [219 216 211]
  ...
  [195 190 175]
  [196 190 177]
  [219 213 200]]

 [[232 232 226]
  [234 234 228]
  [211 209 201]
  ...
  [194 188 169]
  [188 180 167]
  [218 209 199]]]"
21, Boman Irani,"https://m.media-amazon.com/images/M/MV5BNTc4ZjFlMjUtODU3MS00M2JhLTlkMzEtMmIyODFiMjAwZmJhXkEyXkFqcGdeQXVyNTE0MDc0NTM@._V1_UY209_CR62,0,140,209_AL_.jpg","Boman Irani was born on December 2, 1959 in Bombay, State of Bombay, India. He is an actor, known for 3 Idiots (2009), Munna Bhai M.B.B.S. (2003) and Don 2 (2011). He has been married to Zenobia since January 28, 1985. They have two children.                ","[[[140 132 133]
  [126 116 116]
  [113 100  98]
  ...
  [114 110 116]
  [114 108 113]
  [109 103 108]]

 [[137 126 128]
  [123 113 113]
  [113 100  98]
  ...
  [125 118 121]
  [123 116 119]
  [120 112 113]]

 [[132 120 120]
  [121 109 107]
  [115 100  97]
  ...
  [133 121 119]
  [132 120 116]
  [127 115 111]]

 ...

 [[ 46  54  54]
  [ 42  50  50]
  [ 37  45  45]
  ...
  [ 37  44  29]
  [ 41  49  32]
  [ 47  57  40]]

 [[ 53  59  58]
  [ 47  55  54]
  [ 40  48  47]
  ...
  [ 38  43  28]
  [ 40  48  31]
  [ 49  57  40]]

 [[ 81  87  82]
  [ 49  56  51]
  [ 29  38  35]
  ...
  [ 31  34  19]
  [ 39  42  27]
  [ 52  55  40]]]"
